commodity;categoria;categoria_planning;categoria_gpc;product_group;marca_gpc;cod_produto;produto;peso_liquido_caixa;unidades_caixa;peso_liquido_unitario
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;TRESEMME;80K;HAIR CRPE TRESEMME 400ML;4,750;12;0,39583
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;TRESEMME;80M;HAIR CRPE TRESEMME 200ML;2,480;12;0,20667
BEAUTY;HAIR;HAIR;HAIR;MODELADOR;TRESEMME;80O;HAIR GEL TRESEMME 200GR;2,400;12;0,20000
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;DOVE;80Q;HAIR SUPER CO DOVE 170ML;2,020;12;0,16833
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;TRESEMME;8B5;HAIR SUPER CO TRESEMME 170ML;1,990;12;0,16583
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;SEDA;8BQ;HAIR CRTR SEDA BOOM 300ML;1,800;6;0,30000
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;DOVE;8IR;HAIR CRTR 1MIN DOVE 300G;1,800;6;0,30000
BEAUTY;HAIR;HAIR;HAIR;SHAMPOO;LOVE BEAUTY;8IT;HAIR SH LOVE BEAUTY PLANET 300ML;3,683;12;0,30692
BEAUTY;HAIR;HAIR;HAIR;CONDICIONADORES;LOVE BEAUTY;8IV;HAIR CO LOVE BEAUTY PLANET 300ML;3,564;12;0,29700
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;LOVE BEAUTY;8IX;HAIR CRPE LOVE BEAUTY PLANET;2,352;12;0,19600
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;LOVE BEAUTY;8IZ;HAIR CRTR LOVE BEAUTY PLANET;1,140;6;0,19000
BEAUTY;HAIR;HAIR;HAIR;TRATAMENTO PARA CABELO;DOVE;8K4;HAIR CRPE DOVE DAY 2;2,378;12;0,19817
